genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
432hz,0.49477999999999994,0.2993333333333333,1048887.3333333333,0.45067833333333324,0.47776166666666664,0.131,-16.854,0.07681666666666667,120.28566666666666,0.22175,52.16666666666667,5,1
[],0.6792447448574842,0.5214733053399061,229852.6102234212,0.4015221428872992,0.19673731353934484,0.22158621487692204,-12.679075647739117,0.11226707625920136,112.02516779563427,0.5159200459415466,21.68200469637955,7,1
a cappella,0.6215317193348844,0.5770169060398996,193652.20470899667,0.34569408644304817,0.0037989220040791152,0.12708681770995536,-12.770211025518897,0.09532427363658015,111.81323023766345,0.4531856348581163,43.35181880911817,11,1
abstract,0.359395,0.4595000000000001,343018.5,0.487,0.7914000000000001,0.11947999999999999,-14.092000000000002,0.04341999999999999,124.74319999999997,0.30499,41.5,1,1
abstract beats,0.35334666666666664,0.6944000000000001,233824.4,0.6134,0.349402612,0.10245333333333333,-6.699799999999999,0.14345333333333335,119.3984,0.6341866666666667,58.6,10,0
abstract hip hop,0.2058719883040936,0.7231315789473683,249095.1032163743,0.6454608187134503,0.00285267181871345,0.16803175438596493,-7.216007017543859,0.2501043859649123,112.1602865497076,0.584391812865497,43.804970760233914,11,1
accordeon,0.8013333333333333,0.6263333333333333,162613.33333333334,0.309,0.616,0.25266666666666665,-10.736666666666666,0.03573333333333333,114.52199999999999,0.5436666666666666,28.666666666666668,2,1
accordion,0.48620833333333335,0.6408333333333333,166508.20833333334,0.36400000000000005,0.11131726250000001,0.186975,-14.436541666666665,0.082775,112.72216666666667,0.6439166666666667,15.208333333333334,2,1
acid house,0.05700233333333334,0.6842277777777779,293609.31111111114,0.721418888888889,0.32021935611111113,0.2323811111111112,-10.378311111111111,0.05850944444444444,123.17593333333333,0.6222055555555557,44.56666666666667,11,1
acid jazz,0.155414,0.7142000000000001,284362.36666666664,0.6946666666666668,0.19061313333333335,0.1068,-10.234666666666666,0.05202,112.2434,0.7893666666666667,44.03333333333333,6,1
acid rock,0.258026864678222,0.45354114137612467,252930.71735146004,0.5920554368071769,0.1595598890343916,0.2358537652184705,-11.12468442093375,0.07229235281894741,125.46593731792913,0.5359745318824704,34.50001162280338,9,1
acid trance,0.0035355,0.5569999999999999,216060.0,0.925,0.7765,0.152,-7.128,0.04235,134.8435,0.6395,56.5,2,1
acousmatic,0.91579375,0.4142589166666667,180883.19145833334,0.2505703666666667,0.5970336702,0.25699204166666667,-21.015509791666666,0.08479414583333333,105.54813437500002,0.30973520833333335,8.081875,0,1
acoustic blues,0.7561610668806609,0.6009316936067768,204589.7752516997,0.3585906869237169,0.09291153168652826,0.1861530064454412,-12.653953605421991,0.0665395530759378,114.10039731622797,0.6300176685059984,23.76447984160648,7,1
